type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb
link	post_page_20446254070	20446254070_10155218341209071	https://www.facebook.com/20446254070/posts/10155218341209071	"A hangover is the least of your worries."	https://external.xx.fbcdn.net/safe_image.php?d=AQD6rhlfkP0YK6V_&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a06249f7bcaa4d111417796%2F8cb2e41ee1f624da99a1c0764b8c19678829e81b_711fcd190e99b452c605940041c1720492662b15_facebook&cfs=1&_nc_hash=AQAbZ8u2UrKWfovd	https://external.xx.fbcdn.net/safe_image.php?d=AQAM1vUsG07shyot&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a06249f7bcaa4d111417796%2F8cb2e41ee1f624da99a1c0764b8c19678829e81b_711fcd190e99b452c605940041c1720492662b15_facebook&_nc_hash=AQB7_eDqM4sdP82O	http://read.bi/2zB6ddk	read.bi	2017-11-12T00:35:00+0000	1510446900	"2017-11-12 01:35:00"	315	71	352	181	604
link	post_page_20446254070	20446254070_10155218289729071	https://www.facebook.com/20446254070/posts/10155218289729071	" It s a me  Mario! "	https://external.xx.fbcdn.net/safe_image.php?d=AQDKF7jGkpwK7QcR&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a0606f5004df9e52b55617d%2Fe0a052d6e7b62febf3273a58f7087dd02bcab704_9631fdc9b27c66eedfa53b34c23762f8399059ea_facebook&cfs=1&_nc_hash=AQBUHxQNihleV76A	https://external.xx.fbcdn.net/safe_image.php?d=AQBIwS85QRBqdzZ4&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a0606f5004df9e52b55617d%2Fe0a052d6e7b62febf3273a58f7087dd02bcab704_9631fdc9b27c66eedfa53b34c23762f8399059ea_facebook&_nc_hash=AQD-UtXsq3ZE7rBO	http://read.bi/2yPqpuP	read.bi	2017-11-12T00:20:02+0000	1510446002	"2017-11-12 01:20:02"	148	29	165	28	222
link	post_page_20446254070	20446254070_10155218229734071	https://www.facebook.com/20446254070/posts/10155218229734071	" Vladimir Putin does not have America s interests at heart   McCain said."	https://external.xx.fbcdn.net/safe_image.php?d=AQBJViPSXpVqT3YP&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a078d96f8594cb14ca3336a%2Fc31a32c3e60f340afc6ccb25327609c10f436044_ea788e689efb300604ff81e6ed92d8a6cba4407f_facebook&cfs=1&sx=245&sy=0&sw=595&sh=595&_nc_hash=AQDmffaTvuOyXX48	https://external.xx.fbcdn.net/safe_image.php?d=AQChuZYKtoK5OZoO&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a078d96f8594cb14ca3336a%2Fc31a32c3e60f340afc6ccb25327609c10f436044_ea788e689efb300604ff81e6ed92d8a6cba4407f_facebook&_nc_hash=AQDlmB5x0dxJuwan	http://read.bi/2yTucXS	read.bi	2017-11-12T00:00:15+0000	1510444815	"2017-11-12 01:00:15"	1883	321	2106	371	2798
link	post_page_20446254070	20446254070_10155218187154071	https://www.facebook.com/20446254070/posts/10155218187154071	"The Toronto Raptors  Phoenix Suns  Houston Rockets  Sacramento Kings and Washington Wizards have all stopped staying at Trump SoHo."	https://external.xx.fbcdn.net/safe_image.php?d=AQBmFgM7Rx0JtR6c&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a04c058f8594c5c780c44d8%2F7c7af7fea5fa94c05cd68bdd4707320495623418_1bc4f0edf54e7481220622923c01bb09c643eeae_facebook&cfs=1&sx=383&sy=0&sw=512&sh=512&_nc_hash=AQBjeQ4P4PlQpOqb	https://external.xx.fbcdn.net/safe_image.php?d=AQAPKbptd-4ACNLy&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a04c058f8594c5c780c44d8%2F7c7af7fea5fa94c05cd68bdd4707320495623418_1bc4f0edf54e7481220622923c01bb09c643eeae_facebook&_nc_hash=AQAMDXFV6troK3mS	http://read.bi/2yLqgIL	read.bi	2017-11-11T23:40:04+0000	1510443604	"2017-11-12 00:40:04"	241	6	300	12	318
link	post_page_20446254070	20446254070_10155218177579071	https://www.facebook.com/20446254070/posts/10155218177579071	"Shaquille O Neal joked that he d  rather shoot zero percent  than shoot underhand."	https://external.xx.fbcdn.net/safe_image.php?d=AQAhIl1ba6VqSXFL&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a05b9c8c3453d0466e51df4%2F8a614dece3aafa229842c76afd006ebd98662685_685702a008b6ef436171c3647856cc4f2ba1c0d6_facebook&cfs=1&sx=264&sy=0&sw=595&sh=595&_nc_hash=AQDRMuAgS0hN-OQr	https://external.xx.fbcdn.net/safe_image.php?d=AQCg0ndDiKOHyqXn&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a05b9c8c3453d0466e51df4%2F8a614dece3aafa229842c76afd006ebd98662685_685702a008b6ef436171c3647856cc4f2ba1c0d6_facebook&_nc_hash=AQC9NXZrJyczyRCq	http://read.bi/2ztcY37	read.bi	2017-11-11T23:35:07+0000	1510443307	"2017-11-12 00:35:07"	93	10	107	2	119
link	post_page_20446254070	20446254070_10155218146519071	https://www.facebook.com/20446254070/posts/10155218146519071	"Trump called Comey a  political hack   a liar  and a  leaker. "	https://external.xx.fbcdn.net/safe_image.php?d=AQD4V62EH8LQzkJT&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a077f14936392f931fe883a%2Fa3017168778d0d56c5038b64fe46abba31d294e7_f40a04a924f0fdc051219d2c49980bee77563f73_facebook&cfs=1&sx=522&sy=0&sw=595&sh=595&_nc_hash=AQD1ddPCgcVrNoCm	https://external.xx.fbcdn.net/safe_image.php?d=AQAXYRue5CYSdOU9&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a077f14936392f931fe883a%2Fa3017168778d0d56c5038b64fe46abba31d294e7_f40a04a924f0fdc051219d2c49980bee77563f73_facebook&_nc_hash=AQAzdDfQa1ffPS7c	http://read.bi/2ABaRb3	read.bi	2017-11-11T23:20:00+0000	1510442400	"2017-11-12 00:20:00"	166	24	209	22	255
link	post_page_20446254070	20446254070_10155218101989071	https://www.facebook.com/20446254070/posts/10155218101989071	"The new research gives insight into the role of the unconscious mind in the voting booth."	https://external.xx.fbcdn.net/safe_image.php?d=AQAii3ZTTm0KNHXA&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a061b69004df9b03ac6ce49%2F35a2a088cdc5d54ee2afa17c429a2e236300542c_2ac170cf0e22c72d26513d21f751333e732541e9_facebook&cfs=1&sx=387&sy=0&sw=595&sh=595&_nc_hash=AQCjRtmeoGYRCGjZ	https://external.xx.fbcdn.net/safe_image.php?d=AQCP5mJMSq6BsPlO&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a061b69004df9b03ac6ce49%2F35a2a088cdc5d54ee2afa17c429a2e236300542c_2ac170cf0e22c72d26513d21f751333e732541e9_facebook&_nc_hash=AQDZuTWrSvIbKOfL	http://read.bi/2yOiHAR	read.bi	2017-11-11T23:00:19+0000	1510441219	"2017-11-12 00:00:19"	14	2	23	4	29
link	post_page_20446254070	20446254070_10155218063274071	https://www.facebook.com/20446254070/posts/10155218063274071	"Firing of one prince—the head of the Saudi Arabian National Guard—may have been a fatal mistake."	https://external.xx.fbcdn.net/safe_image.php?d=AQAZmkhLTlJ32-hr&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a076c3d936392284956a8a7%2F809d71b9312d8d37354cd9f52fc8451dfec71393_97173cc9dd18990d971453061a50efa5710e4b46_facebook&cfs=1&sx=595&sy=0&sw=595&sh=595&_nc_hash=AQAYJpYPDIn54Npe	https://external.xx.fbcdn.net/safe_image.php?d=AQBDsQ97tuqp1C5G&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a076c3d936392284956a8a7%2F809d71b9312d8d37354cd9f52fc8451dfec71393_97173cc9dd18990d971453061a50efa5710e4b46_facebook&_nc_hash=AQA208S8m_JZnlHg	http://read.bi/2zx5Cvi	read.bi	2017-11-11T22:40:00+0000	1510440000	"2017-11-11 23:40:00"	1001	51	1149	216	1416
link	post_page_20446254070	20446254070_10155218053424071	https://www.facebook.com/20446254070/posts/10155218053424071	"A  B  could be cleaner than an  A ."	https://external.xx.fbcdn.net/safe_image.php?d=AQCi1aeVtQwYVK65&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a05b64ac3453d883fe51df7%2F6f75760edca819d8f3d8dbe45eb3bdcf0930b219_b89a41c1b0252d0fe346ad6cd52e1f04b591c89e_facebook&cfs=1&_nc_hash=AQArJ-sfqSUEMYCK	https://external.xx.fbcdn.net/safe_image.php?d=AQDeOeh53AWdo9kC&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a05b64ac3453d883fe51df7%2F6f75760edca819d8f3d8dbe45eb3bdcf0930b219_b89a41c1b0252d0fe346ad6cd52e1f04b591c89e_facebook&_nc_hash=AQDidqQA1som3x13	http://read.bi/2zLm5gf	read.bi	2017-11-11T22:35:04+0000	1510439704	"2017-11-11 23:35:04"	29	3	44	4	51
link	post_page_20446254070	20446254070_10155218022189071	https://www.facebook.com/20446254070/posts/10155218022189071	"Last year was the first time Americans drank more bottled water than soda."	https://external.xx.fbcdn.net/safe_image.php?d=AQAuejpXdKqDpyy0&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a04bfbf936392272c3201bd%2F7ec0e0c32a1fd3a5dafeda988b969010b2eb7234_f1d58c13c2bd0cd57e481b5f33f1f44ac75fcc59_facebook&cfs=1&_nc_hash=AQDqR-5Cj-ZzQ0sb	https://external.xx.fbcdn.net/safe_image.php?d=AQCpbpXWvNZLei2e&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5a04bfbf936392272c3201bd%2F7ec0e0c32a1fd3a5dafeda988b969010b2eb7234_f1d58c13c2bd0cd57e481b5f33f1f44ac75fcc59_facebook&_nc_hash=AQDDZzjf5KWOyU3F	http://read.bi/2zpwLAu	read.bi	2017-11-11T22:20:03+0000	1510438803	"2017-11-11 23:20:03"	562	53	631	169	853
